state,2010,2011,2012,2013,2014
Pernambuco ,7,5,9,10,12
Paraiba ,6,2,3,5,5
Rio Grande do Norte,2,2,4,0,1
Sergipe ,3,1,2,0,2
Alagoas ,3,7,2,3,2
Bahia ,12,13,7,14,7
Piaui,1,0,4,4,6
Ceara,8,4,9,5,7
Maranhao ,3,2,6,2,2
Tocantins ,1,0,1,4,0
Rio de Janeiro ,10,15,8,19,10
Goias ,3,4,3,2,3
Distrito Federal,3,3,1,2,2
Mato Grosso do Sul ,0,0,1,3,0
Sao Paulo ,25,31,42,43,39
Holy Spirit ,2,4,5,4,3
Minas Gerais ,20,16,23,13,11
Rio Grande do Sul ,0,0,1,3,0
For ,6,5,11,7,6
Mato Grosso ,5,7,2,1,5
Roraima ,1,0,0,2,0
